date,open,high,low,close,volume,marketcap,BCHAIN-DIFF,BCHAIN-AVBLS,BCHAIN-MIREV,BCHAIN-CPTRA,BCHAIN-NTRAN,BCHAIN-HRATE,BCHAIN-CPT,BCHAIN-NTRBL
23/4/19,5399.37,5633.8,5389.41,5572.36,15867308108,98417387004,6.35E+12,1.142223119,9258378.29,27.07017341,342014,42318655.54,27.07017341,2552.343284
22/4/19,5312.49,5422.69,5280.28,5399.37,14601631648,95354207776,6.36E+12,1.142430407,10945502.35,28.01259767,390735,51161359.68,28.01259767,2411.944444
21/4/19,5335.88,5359.93,5257.34,5314.53,13731844223,93847052256,6.39E+12,1.240556481,8991647.213,28.11295402,319840,41631660.19,28.11295402,2441.526718
20/4/19,5304.16,5358.49,5295.88,5337.89,13169647522,94248717444,6.39E+12,1.212485171,10397880.59,28.71327429,362128,48305437.78,28.71327429,2382.421053
19/4/19,5298.15,5336.68,5233.34,5303.81,13780238655,93638345002,6.39E+12,1.214882,10184250.91,26.59205265,382981,47352040.98,26.59205265,2570.342282
18/4/19,5251.48,5319.99,5250.51,5298.39,13256489918,93532402741,6.39E+12,1.229380333,9397443.839,26.79342025,350737,43856252.72,26.79342025,2541.572464
17/4/19,5236.14,5274.28,5219.21,5251.94,12438480677,92702617458,6.39E+12,1.25263491,9653040.274,26.92491646,358517,46080845.25,26.92491646,2472.531034
16/4/19,5066.58,5238.95,5055.19,5235.56,11618660197,92404613297,6.39E+12,1.22713911,9674591.791,25.36114428,381473,46080845.25,25.36114428,2630.848276
15/4/19,5167.32,5196.61,5024.07,5067.11,12290155061,89422237603,6.39E+12,1.196266385,8035239.173,23.84131731,337030,38771469.79,23.84131731,2762.540984
14/4/19,5095.76,5184.02,5053.57,5167.72,10391952498,91188595341,6.39E+12,1.107431615,8902414.896,24.25223903,367076,42902855.92,24.25223903,2719.081481
13/4/19,5088.85,5127.12,5061.59,5096.59,10823289598,89925574875,6.39E+12,1.184258404,10002902.94,26.54930751,376767,47987638.84,26.54930751,2495.145695
