date,close,volume,BCHAIN-DIFF,BCHAIN-AVBLS,BCHAIN-MIREV,BCHAIN-CPTRA,BCHAIN-NTRAN,BCHAIN-HRATE,BCHAIN-CPT,BCHAIN-NTRBL
4/7/18,6597.55,4176689920,5.36E+12,1.113817009,9617154,45.22424088,216747,30929068.69,44.37041343,1868.508621
5/7/18,6639.14,4999240192,5.36E+12,0.935352985,11089706,54.31817269,206788,35728406.94,53.62838269,1543.19403
6/7/18,6673.5,4313959936,5.36E+12,0.783748219,11467704.88,58.11656982,199600,36528296.65,57.45343124,1456.934307
7/7/18,6856.93,3961080064,5.36E+12,0.685458581,13022240,65.49257767,200993,42660784.4,64.78952003,1256.20625
8/7/18,6773.88,3386210048,5.36E+12,0.537210058,12914635.5,76.5419297,170160,41594264.79,75.89701164,1090.769231
9/7/18,6741.75,3718129920,5.36E+12,0.592209538,13062255,84.56644232,155685,42127524.6,83.90182098,985.3481013
10/7/18,6329.95,4052430080,5.36E+12,1.060415353,11427128,55.97333196,206546,36261666.74,55.32485742,1518.720588
11/7/18,6394.71,3644859904,5.36E+12,0.971490577,12485753,58.49685388,216063,39727855.48,57.78755733,1450.087248
12/7/18,6228.81,3770170112,5.36E+12,1.006592259,10811120.63,54.00752874,202603,35995036.84,53.3611083,1500.762963
13/7/18,6238.05,3805400064,5.36E+12,1.179159482,11268737.63,55.95043171,203535,37594816.26,55.36510981,1443.510638
14/7/18,6276.12,2923670016,5.36E+12,1.113532706,11015182.75,53.56109038,207904,38128076.06,52.98206263,1453.874126
15/7/18,6359.64,3285459968,5.36E+12,1.159489827,10322279.63,59.0196428,176475,35461777.04,58.49145559,1326.879699
16/7/18,6741.75,4725799936,5.36E+12,0.77394609,10424456.88,65.28198175,161151,35461777.04,64.6875097,1211.661654
17/7/18,7321.04,5961950208,5.36E+12,0.928807492,9550007.43,46.64062406,207842,31995588.3,45.94840037,1732.016667
18/7/18,7370.78,6103410176,5.2E+12,0.909335535,13252292.25,57.35278485,233966,40931868.49,56.64195759,1471.484277
19/7/18,7466.86,5111629824,5.18E+12,1.046474247,16010523,68.03565085,238769,44793365.52,67.05444593,1372.235632
20/7/18,7354.13,4936869888,5.18E+12,0.734628801,15668190.72,70.53032776,225039,44021066.11,69.62433498,1316.017544
21/7/18,7419.29,3726609920,5.18E+12,0.815292727,14443929.5,64.81279613,225529,39644702.82,64.0446661,1464.474026
22/7/18,7418.49,3695460096,5.18E+12,0.715741226,12556546.63,68.63507931,184803,35268339.52,67.94557786,1348.927007
23/7/18,7711.11,5132480000,5.18E+12,0.451292709,16874334.75,101.6215338,167129,46852830.6,100.965929,918.2912088
24/7/18,8424.27,7277689856,5.18E+12,0.890057922,15381186.5,67.87000821,229480,42733900.44,67.02626155,1382.409639
25/7/18,8181.39,5845400064,5.18E+12,0.917435553,15319928.25,59.9496459,259358,40931868.49,59.0686551,1631.18239
26/7/18,7951.58,4899089920,5.18E+12,0.965074492,18661751.63,75.48921382,250208,45565664.92,74.58495182,1413.60452
27/7/18,8165.01,5195879936,5.18E+12,0.771370909,16911592.5,73.84096036,231679,42476467.3,72.99579375,1404.115152
28/7/18,8192.15,3988750080,5.18E+12,0.886276054,16568111.75,72.94164601,229397,42991333.57,72.2246226,1373.634731
29/7/18,8218.46,4107190016,5.18E+12,0.759045938,14770485.99,79.14850324,188238,37327804.6,78.46707886,1298.193103
30/7/18,8180.48,5551400000,5.6E+12,0.539320924,17431648.02,104.2233261,168407,50277183.1,103.5090467,990.6294118
31/7/18,7780.44,5287530000,5.95E+12,0.911087888,13817728.25,60.71469786,230924,39630250.21,59.83669194,1723.313433
1/8/18,7624.91,4797620000,5.95E+12,0.950214048,14996021.25,62.57714279,242977,43474975.98,61.71786321,1652.904762
2/8/18,7567.15,4214110000,5.95E+12,0.990541167,14445819.08,60.57818146,241044,44362220.38,59.93021639,1606.96
3/8/18,7434.39,4627150000,5.95E+12,0.806938451,14541709.8,65.41608789,224873,45249464.79,64.66632188,1469.75817
4/8/18,7032.85,4268390000,5.95E+12,0.834025711,15674653.75,68.95540358,229859,49094190.56,68.19247343,1384.692771
5/8/18,7068.48,3679110000,5.95E+12,0.574082176,16381955.16,86.06518985,191657,52051671.92,85.47538133,1088.960227
6/8/18,6951.8,3925900000,5.95E+12,0.578105369,14016460,81.96015649,172181,47319701.74,81.40538155,1076.13125
7/8/18,6753.12,4682800000,5.95E+12,1.050986702,11517945.75,53.25904562,218607,38743005.8,52.68790912,1668.755725
8/8/18,6305.8,5064430000,5.95E+12,1.016458437,12988132.88,56.28195175,233045,44657968.52,55.7322958,1543.344371
9/8/18,6568.23,4267040000,5.95E+12,0.81295779,12792695.75,54.36505624,235311,46432457.33,54.36505624,1498.796178
10/8/18,6184.71,4528680000,5.95E+12,0.804355664,12046723.14,54.18494975,222326,44066472.25,54.18494975,1492.120805
11/8/18,6295.73,4047850000,5.95E+12,0.792378119,14202869.62,62.80342793,226148,52051671.92,62.80342793,1284.931818
12/8/18,6322.69,5665250000,6.2E+12,0.611510918,13261117.58,68.91111723,192438,53994493.05,68.91111723,1131.988235
13/8/18,6297.57,4083980000,6.39E+12,0.584546742,12308443.93,74.57674276,165044,49230273.08,74.57674276,1064.8
14/8/18,6199.71,5301700000,6.39E+12,0.906496873,12027194.99,54.12072678,222229,47642199.75,54.12072678,1481.526667
15/8/18,6308.52,4895450000,6.39E+12,1.011792919,10446684.93,42.18803228,247622,43195594.44,42.18803228,1820.75
16/8/18,6334.73,4328420000,6.39E+12,0.791067155,12945905.19,52.61151558,246066,51135961.07,52.61151558,1528.360248
17/8/18,6580.63,4992990000,6.39E+12,0.761947316,12679218.34,54.57300166,232335,50183117.07,54.57300166,1470.474684
